Marker id	Marker name	Length	Predicted length	Percentage identity
gb|GEER01010777.1|	gb|GEER01010777.1| TSA: Camellia reticulata CRD_FB_c37346_g2_i1 transcribed RNA sequence	3365	3365	81.0
gb|GEER01000920.1|	gb|GEER01000920.1| TSA: Camellia reticulata CRD_FB_c38752_g3_i4 transcribed RNA sequence	2398	2398	84.0
gb|GEER01012599.1|	gb|GEER01012599.1| TSA: Camellia reticulata CRD_FL_c46807_g1_i3 transcribed RNA sequence	2525	2525	81.0
gb|GEER01001636.1|	gb|GEER01001636.1| TSA: Camellia reticulata CRD_FL_c32132_g1_i2 transcribed RNA sequence	2595	2595	81.0
gb|GEER01005719.1|	gb|GEER01005719.1| TSA: Camellia reticulata CRD_FR_c33907_g1_i1 transcribed RNA sequence	1930	1930	85.0
gb|GEER01011053.1|	gb|GEER01011053.1| TSA: Camellia reticulata CRD_FB_c39001_g3_i4 transcribed RNA sequence	3000	3000	81.0
gb|GEER01011224.1|	gb|GEER01011224.1| TSA: Camellia reticulata CRD_FB_c39650_g1_i2 transcribed RNA sequence	2329	2329	78.0
gb|GEER01003225.1|	gb|GEER01003225.1| TSA: Camellia reticulata CRD_FL_c52317_g3_i1 transcribed RNA sequence	2825	2825	82.0
gb|GEER01005563.1|	gb|GEER01005563.1| TSA: Camellia reticulata CRD_FR_c33478_g3_i1 transcribed RNA sequence	3185	3185	81.0
gb|GEER01004995.1|	gb|GEER01004995.1| TSA: Camellia reticulata CRD_FR_c31103_g2_i1 transcribed RNA sequence	3818	3818	80.0
gb|GEER01000353.1|	gb|GEER01000353.1| TSA: Camellia reticulata CRD_FB_c32041_g1_i1 transcribed RNA sequence	1360	1560	85.0
gb|GEER01005939.1|	gb|GEER01005939.1| TSA: Camellia reticulata CRD_FR_c34464_g1_i2 transcribed RNA sequence	3432	3632	83.0
gb|GEER01005191.1|	gb|GEER01005191.1| TSA: Camellia reticulata CRD_FR_c32007_g1_i1 transcribed RNA sequence	2731	2931	85.0
gb|GEER01005062.1|	gb|GEER01005062.1| TSA: Camellia reticulata CRD_FR_c31454_g1_i1 transcribed RNA sequence	2073	2273	86.0
gb|GEER01002585.1|	gb|GEER01002585.1| TSA: Camellia reticulata CRD_FL_c49176_g1_i1 transcribed RNA sequence	2591	2991	85.0
gb|GEER01012069.1|	gb|GEER01012069.1| TSA: Camellia reticulata CRD_FL_c39938_g1_i1 transcribed RNA sequence	1872	2072	86.0
gb|GEER01003313.1|	gb|GEER01003313.1| TSA: Camellia reticulata CRD_FL_c52585_g1_i6 transcribed RNA sequence	5324	5524	81.0
gb|GEER01009428.1|	gb|GEER01009428.1| TSA: Camellia reticulata CRD_ML_c88150_g8_i1 transcribed RNA sequence	2278	2678	85.0
gb|GEER01002956.1|	gb|GEER01002956.1| TSA: Camellia reticulata CRD_FL_c51259_g6_i2 transcribed RNA sequence	1906	2306	86.0
gb|GEER01005645.1|	gb|GEER01005645.1| TSA: Camellia reticulata CRD_FR_c33677_g1_i1 transcribed RNA sequence	2347	2947	85.0
gb|GEER01006094.1|	gb|GEER01006094.1| TSA: Camellia reticulata CRD_FR_c34811_g3_i1 transcribed RNA sequence	1853	2253	86.0
gb|GEER01014384.1|	gb|GEER01014384.1| TSA: Camellia reticulata CRD_FL_c52726_g2_i1 transcribed RNA sequence	2675	2875	82.0
gb|GEER01005700.1|	gb|GEER01005700.1| TSA: Camellia reticulata CRD_FR_c33841_g10_i1 transcribed RNA sequence	3973	4173	82.0
gb|GEER01003101.1|	gb|GEER01003101.1| TSA: Camellia reticulata CRD_FL_c51852_g2_i2 transcribed RNA sequence	3471	3671	85.0
gb|GEER01003722.1|	gb|GEER01003722.1| TSA: Camellia reticulata CRD_FR_c16288_g2_i1 transcribed RNA sequence	3699	3899	85.0
gb|GEER01014530.1|	gb|GEER01014530.1| TSA: Camellia reticulata CRD_FL_c52959_g2_i5 transcribed RNA sequence	7706	8306	86.0
gb|GEER01002432.1|	gb|GEER01002432.1| TSA: Camellia reticulata CRD_FL_c47951_g1_i2 transcribed RNA sequence	1341	1541	83.0
gb|GEER01009178.1|	gb|GEER01009178.1| TSA: Camellia reticulata CRD_ML_c86514_g3_i3 transcribed RNA sequence	2737	3137	86.0
gb|GEER01006242.1|	gb|GEER01006242.1| TSA: Camellia reticulata CRD_FR_c39654_g1_i1 transcribed RNA sequence	2238	2438	81.0
gb|GEER01000739.1|	gb|GEER01000739.1| TSA: Camellia reticulata CRD_FB_c37414_g3_i1 transcribed RNA sequence	2393	2593	81.0
gb|GEER01010783.1|	gb|GEER01010783.1| TSA: Camellia reticulata CRD_FB_c37414_g3_i3 transcribed RNA sequence	2478	2678	81.0
gb|GEER01006024.1|	gb|GEER01006024.1| TSA: Camellia reticulata CRD_FR_c34637_g1_i1 transcribed RNA sequence	2619	3019	85.0
gb|GEER01013814.1|	gb|GEER01013814.1| TSA: Camellia reticulata CRD_FL_c51707_g9_i2 transcribed RNA sequence	3697	3897	84.0
gb|GEER01005461.1|	gb|GEER01005461.1| TSA: Camellia reticulata CRD_FR_c33195_g3_i1 transcribed RNA sequence	2449	2649	83.0
gb|GEER01002797.1|	gb|GEER01002797.1| TSA: Camellia reticulata CRD_FL_c50550_g14_i1 transcribed RNA sequence	2226	2426	80.0
gb|GEER01000793.1|	gb|GEER01000793.1| TSA: Camellia reticulata CRD_FB_c37877_g2_i2 transcribed RNA sequence	3406	3606	86.0
gb|GEER01004593.1|	gb|GEER01004593.1| TSA: Camellia reticulata CRD_FR_c28247_g1_i1 transcribed RNA sequence	2285	2485	84.0
